"","x"
"1",405.12
"2",406.81
"3",407.96
"4",408.32
"5",409.41
"6",410.24
"7",411.23
"8",410.79
"9",408.71
"10",406.99
"11",405.51
"12",406
"13",408.02
"14",409.07
"15",410.83
"16",411.75
"17",411.97
"18",413.32
"19",414.66
"20",413.92
"21",411.77
"22",409.95
"23",408.54
"24",408.53
