Date,Close,AClose,Volume
1927-12-26,17.66,17.66,0
1928-01-02,17.66,17.66,0
1928-01-09,17.58,17.58,0
1928-01-16,17.48,17.48,0
1928-01-23,17.690001,17.690001,0
1928-01-30,17.4,17.4,0
1928-02-06,17.540001,17.540001,0
1928-02-13,17.040001,17.040001,0
1928-02-20,17.18,17.18,0
1928-02-27,17.299999,17.299999,0
1928-03-05,17.93,17.93,0
1928-03-12,18.26,18.26,0
1928-03-19,18.780001,18.780001,0
1928-03-26,19.280001,19.280001,0
1928-04-02,19.23,19.23,0
1928-04-09,19.73,19.73,0
1928-04-16,19.34,19.34,0
1928-04-23,19.68,19.68,0
1928-04-30,20.24,20.24,0
1928-05-07,20.360001,20.360001,0
1928-05-14,19.92,19.92,0
1928-05-21,19.9,19.9,0
1928-05-28,20.07,20.07,0
1928-06-04,19.370001,19.370001,0
1928-06-11,18.74,18.74,0
1928-06-18,18.540001,18.540001,0
1928-06-25,19.139999,19.139999,0
1928-07-02,19.389999,19.389999,0
1928-07-09,18.959999,18.959999,0
1928-07-16,19.030001,19.030001,0
1928-07-23,19.42,19.42,0
1928-07-30,19.360001,19.360001,0
1928-08-06,19.25,19.25,0
1928-08-13,19.639999,19.639999,0
1928-08-20,20.34,20.34,0
1928-08-27,20.870001,20.870001,0
1928-09-03,21.09,21.09,0
1928-09-10,21.139999,21.139999,0
1928-09-17,21.360001,21.360001,0
1928-09-24,21.139999,21.139999,0
1928-10-01,21.219999,21.219999,0
1928-10-08,21.51,21.51,0
1928-10-15,21.959999,21.959999,0
1928-10-22,21.65,21.65,0
1928-10-29,21.950001,21.950001,0
1928-11-05,22.549999,22.549999,0
1928-11-12,23.370001,23.370001,0
1928-11-19,23.700001,23.700001,0
1928-11-26,24.280001,24.280001,0
1928-12-03,22.360001,22.360001,0
1928-12-10,22.530001,22.530001,0
1928-12-17,23.33,23.33,0
1928-12-24,23.98,23.98,0
1928-12-31,24.85,24.85,0
1929-01-07,24.540001,24.540001,0
1929-01-14,24.77,24.77,0
1929-01-21,25.48,25.48,0
1929-01-28,25.84,25.84,0
1929-02-04,24.440001,24.440001,0
1929-02-11,24.35,24.35,0
1929-02-18,24.860001,24.860001,0
1929-02-25,25.83,25.83,0
1929-03-04,25.309999,25.309999,0
1929-03-11,26.08,26.08,0
1929-03-18,25.549999,25.549999,0
1929-03-25,25.530001,25.530001,0
1929-04-01,25.049999,25.049999,0
1929-04-08,25.15,25.15,0
1929-04-15,25.41,25.41,0
1929-04-22,25.58,25.58,0
1929-04-29,26.370001,26.370001,0
1929-05-06,26.34,26.34,0
1929-05-13,26.09,26.09,0
1929-05-20,25.120001,25.120001,0
1929-05-27,24.83,24.83,0
1929-06-03,25.530001,25.530001,0
1929-06-10,25.93,25.93,0
1929-06-17,26.620001,26.620001,0
1929-06-24,27.41,27.41,0
1929-07-01,28.32,28.32,0
1929-07-08,28.57,28.57,0
1929-07-15,28.76,28.76,0
1929-07-22,28.66,28.66,0
1929-07-29,29.559999,29.559999,0
1929-08-05,28.379999,28.379999,0
1929-08-12,30.219999,30.219999,0
1929-08-19,31.09,31.09,0
1929-08-26,31.709999,31.709999,0
1929-09-02,31.83,31.83,0
1929-09-09,31.379999,31.379999,0
1929-09-16,31.389999,31.389999,0
1929-09-23,30.27,30.27,0
1929-09-30,28.65,28.65,0
1929-10-07,30.76,30.76,0
1929-10-14,28.84,28.84,0
1929-10-21,26.120001,26.120001,0
1929-10-28,24.15,24.15,0
1929-11-04,21.18,21.18,0
1929-11-11,20.299999,20.299999,0
1929-11-18,21.530001,21.530001,0
1929-11-25,20.92,20.92,0
1929-12-02,22.450001,22.450001,0
1929-12-09,21.700001,21.700001,0
1929-12-16,20.16,20.16,0
