Date,Close,AClose,Volume
1971-02-01,100,100,0
1971-02-08,102.050003,102.050003,0
1971-02-15,100.699997,100.699997,0
1971-02-22,101.339996,101.339996,0
1971-03-01,103,103,0
1971-03-08,104.5,104.5,0
1971-03-15,105.769997,105.769997,0
1971-03-22,105.07,105.07,0
1971-03-29,106.860001,106.860001,0
1971-04-05,108.379997,108.379997,0
1971-04-12,109.959999,109.959999,0
1971-04-19,110.690002,110.690002,0
1971-04-26,112.300003,112.300003,0
1971-05-03,110.660004,110.660004,0
1971-05-10,110.739998,110.739998,0
1971-05-17,108.849998,108.849998,0
1971-05-24,108.25,108.25,0
1971-05-31,110.660004,110.660004,0
1971-06-07,110.199997,110.199997,0
1971-06-14,108.160004,108.160004,0
1971-06-21,106.559998,106.559998,0
1971-06-28,108.769997,108.769997,0
1971-07-05,110.910004,110.910004,0
1971-07-12,109.980003,109.980003,0
1971-07-19,109.629997,109.629997,0
1971-07-26,105.269997,105.269997,0
1971-08-02,103.779999,103.779999,0
1971-08-09,105.440002,105.440002,0
1971-08-16,107.889999,107.889999,0
1971-08-23,109.300003,109.300003,0
1971-08-30,109.980003,109.980003,0
1971-09-06,110.419998,110.419998,0
1971-09-13,110.099998,110.099998,0
1971-09-20,108.879997,108.879997,0
1971-09-27,109.580002,109.580002,0
1971-10-04,110.739998,110.739998,0
1971-10-11,109.599998,109.599998,0
1971-10-18,106.800003,106.800003,0
1971-10-25,105.099998,105.099998,0
1971-11-01,105.459999,105.459999,0
1971-11-08,103.910004,103.910004,0
1971-11-15,102.949997,102.949997,0
1971-11-22,101.639999,101.639999,0
1971-11-29,107.260002,107.260002,0
1971-12-06,108.809998,108.809998,0
1971-12-13,110.519997,110.519997,0
1971-12-20,111.940002,111.940002,0
1971-12-27,114.120003,114.120003,0
1972-01-03,116.050003,116.050003,0
1972-01-10,116.739998,116.739998,0
1972-01-17,117.209999,117.209999,0
1972-01-24,118.440002,118.440002,0
1972-01-31,121.239998,121.239998,0
1972-02-07,122.860001,122.860001,0
1972-02-14,123.400002,123.400002,0
1972-02-21,124.830002,124.830002,0
1972-02-28,127.190002,127.190002,0
1972-03-06,128.550003,128.550003,0
1972-03-13,128.009995,128.009995,0
1972-03-20,127.550003,127.550003,0
1972-03-27,128.139999,128.139999,0
1972-04-03,131.800003,131.800003,0
1972-04-10,133.880005,133.880005,0
1972-04-17,133.009995,133.009995,0
1972-04-24,131.330002,131.330002,0
1972-05-01,129.429993,129.429993,0
1972-05-08,129.440002,129.440002,0
1972-05-15,132.160004,132.160004,0
1972-05-22,133.949997,133.949997,0
1972-05-29,133.520004,133.520004,0
1972-06-05,130.570007,130.570007,0
1972-06-12,131.279999,131.279999,0
1972-06-19,130.220001,130.220001,0
1972-06-26,130.080002,130.080002,0
1972-07-03,131.5,131.5,0
1972-07-10,129.380005,129.380005,0
1972-07-17,127.629997,127.629997,0
1972-07-24,128.149994,128.149994,0
1972-07-31,130.940002,130.940002,0
1972-08-07,131.679993,131.679993,0
1972-08-14,131.429993,131.429993,0
1972-08-21,130.309998,130.309998,0
1972-08-28,130.699997,130.699997,0
1972-09-04,129.130005,129.130005,0
1972-09-11,127.669998,127.669998,0
1972-09-18,127.459999,127.459999,0
1972-09-25,129.610001,129.610001,0
